Country,Family,Fund
Algeria,Drosophilidae,1
Benin,Tephritidae,2
Algeria,Drosophilidae,3
Algeria,Drosophilidae,0
Algeria,Drosophilidae,3
Algeria,Drosophilidae,1
Algeria,Drosophilidae,3
Algeria,Drosophilidae,1
Algeria,Drosophilidae,1
Benin,Tephritidae,0
Benin,Tephritidae,0
Benin,Tephritidae,0
Benin,Tephritidae,0
Benin,Tephritidae,2
Benin,Tephritidae,2
Benin,Tephritidae,1
Cameroon,Rhabditidae,0
Cameroon,Rhabditidae,3
Cameroon,Rhabditidae,2
Cameroon,Rhabditidae,2
Cameroon,Rhabditidae,2
Egypt,Cyprinidae,2
Egypt,Drosophilidae,0
Egypt,Drosophilidae,1
Egypt,Rhabditidae,0
Egypt,Tephritidae,0
Egypt,Tephritidae,0
Egypt,Tephritidae,0
Egypt,Tephritidae,0
Egypt,Tephritidae,0
Egypt,Tephritidae,0
Egypt,Tephritidae,0
Egypt,Tephritidae,0
Egypt,Tephritidae,0
Kenya,Drosophilidae,0
Kenya,Rhabditidae,3
Kenya,Tephritidae,3
Kenya,Tephritidae,3
Kenya,Tephritidae,3
Kenya,Tephritidae,2
Kenya,Tephritidae,3
Kenya,Tephritidae,2
Kenya,Tephritidae,2
Kenya,Tephritidae,2
Kenya,Tephritidae,2
Kenya,Tephritidae,2
Kenya,Tephritidae,3
Kenya,Tephritidae,2
Kenya,Tephritidae,1
Kenya,Tephritidae,3
Kenya,Tephritidae,3
Kenya,Tephritidae,1
Kenya,Tephritidae,3
Kenya,Tephritidae,1
Kenya,Tephritidae,3
Kenya,Tephritidae,3
Kenya,Tephritidae,0
Mauritius,Tephritidae,1
Mauritius,Tephritidae,1
Morocco,Drosophilidae,0
Morocco,Drosophilidae,2
Morocco,Drosophilidae,2
Morocco,Drosophilidae,3
Morocco,Drosophilidae,1
Morocco,Drosophilidae,2
Morocco,Drosophilidae,0
Morocco,Rhabditidae,0
Morocco,Tephritidae,3
Morocco,Tephritidae,0
Morocco,Tephritidae,2
Morocco,Tephritidae,1
Morocco,Tephritidae,1
Morocco,Tephritidae,0
Mozambique,Tephritidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,0
Nigeria,Drosophilidae,0
Nigeria,Drosophilidae,0
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,1
Nigeria,Drosophilidae,0
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,1
Nigeria,Drosophilidae,1
Nigeria,Drosophilidae,0
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,2
Nigeria,Drosophilidae,0
Nigeria,Drosophilidae,0
Nigeria,Drosophilidae,0
Nigeria,Drosophilidae,0
Nigeria,Tephritidae,1
South Africa,Cyprinidae,0
South Africa,Cyprinidae,1
South Africa,Cyprinidae,3
South Africa,Cyprinidae,1
South Africa,Cyprinidae,1
South Africa,Cyprinidae,1
South Africa,Cyprinidae,1
South Africa,Cyprinidae,0
South Africa,Drosophilidae,2
South Africa,Drosophilidae,0
South Africa,Drosophilidae,1
South Africa,Drosophilidae,1
South Africa,Drosophilidae,2
South Africa,Drosophilidae,1
South Africa,Drosophilidae,3
South Africa,Drosophilidae,1
South Africa,Drosophilidae,0
South Africa,Drosophilidae,0
South Africa,Drosophilidae,0
South Africa,Drosophilidae,2
South Africa,Drosophilidae,3
South Africa,Drosophilidae,1
South Africa,Drosophilidae,3
South Africa,Rhabditidae,0
South Africa,Rhabditidae,1
South Africa,Rhabditidae,1
South Africa,Rhabditidae,3
South Africa,Rhabditidae,1
South Africa,Rhabditidae,1
South Africa,Rhabditidae,1
South Africa,Rhabditidae,1
South Africa,Rhabditidae,1
South Africa,Rhabditidae,0
South Africa,Tephritidae,1
South Africa,Tephritidae,3
South Africa,Tephritidae,1
South Africa,Tephritidae,0
Tanzania,Cyprinidae,2
Tanzania,Drosophilidae,1
Tanzania,Tephritidae,3
Tanzania,Tephritidae,2
Tanzania,Tephritidae,2
Tanzania,Tephritidae,0
Tanzania,Tephritidae,2
Tanzania,Tephritidae,2
Tunisia,Cyprinidae,3
Tunisia,Cyprinidae,1
Tunisia,Cyprinidae,1
Tunisia,Drosophilidae,2
Tunisia,Rhabditidae,0
Tunisia,Rhabditidae,0
Tunisia,Rhabditidae,0
Tunisia,Rhabditidae,0
Tunisia,Tephritidae,0
Tunisia,Tephritidae,3
Tunisia,Tephritidae,0
Uganda,Drosophilidae,0
Uganda,Drosophilidae,0
Uganda,Drosophilidae,0
Uganda,Drosophilidae,1
Uganda,Rhabditidae,0
Zimbabwe,Cyprinidae,2
Zimbabwe,Tephritidae,2
