International Funders_,counts,percent
AVHF Germany,4,6.153846153846154
BDC Belgium,2,3.076923076923077
CAARF UK,2,3.076923076923077
CAPES Brazil,2,3.076923076923077
DAAD Germany,7,10.76923076923077
DFID UK,3,4.615384615384616
DFS Germany,5,7.6923076923076925
FAPERGS Portugal,2,3.076923076923077
GMECD Germany,4,6.153846153846154
IAEA Austria,5,7.6923076923076925
IDEEV France,2,3.076923076923077
IFAD Italy,2,3.076923076923077
MFA Finland,2,3.076923076923077
MWRB Belgium,2,3.076923076923077
PRANAROM IC Belgium,2,3.076923076923077
SIDA Sweden,5,7.6923076923076925
TWAS Italy,7,10.76923076923077
USDA-ARS USA,3,4.615384615384616
WT UK,4,6.153846153846154
